Category/Type	icd10	Description	icd10_ccode	shortname
Hospital-acquired infection	A020	Salmonella enteritis	ICD10:A02.0	hospinfect
Hospital-acquired infection	A021	Salmonella septicaemia	ICD10:A02.1	hospinfect
Hospital-acquired infection	A044	Other intestinal Escherichia coli infections	ICD10:A04.4	hospinfect
Hospital-acquired infection	A045	Campylobacter enteritis	ICD10:A04.5	hospinfect
Hospital-acquired infection	A047	Enterocolitis due to Clostridium difficile; includes: Foodborne intoxication by Clostridium difficile, Pseudomembranous colitis	ICD10:A04.7	hospinfect
Hospital-acquired infection	A048	Other specified bacterial intestinal infections	ICD10:A04.8	hospinfect
Hospital-acquired infection	A049	Bacterial intestinal infection, unspecified	ICD10:A04.9	hospinfect
Hospital-acquired infection	A080	Rotaviral enteritis	ICD10:A08.0	hospinfect
Hospital-acquired infection	A081	Acute gastroenteropathy due to Norwalk agent; includes: Small round structured virus enteritis	ICD10:A08.1	hospinfect
Hospital-acquired infection	A410	Sepsis due to Staphylococcus aureus	ICD10:A41.0	hospinfect
Hospital-acquired infection	A411	Sepsis due to other specified staphylococcus; includes: Sepsis due to coagulase-negative staphylococcus	ICD10:A41.1	hospinfect
Hospital-acquired infection	A412	Sepsis due to unspecified staphylococcus	ICD10:A41.2	hospinfect
Hospital-acquired infection	A414	Septicaemia due to anaerobes	ICD10:A41.4	hospinfect
Hospital-acquired infection	A4150	Sepsis due to Escherichia coli [E.coli]	ICD10:A41.50	hospinfect
Hospital-acquired infection	A4151	Sepsis due to Pseudomonas; includes: Pseudomonas aeroginosa	ICD10:A41.51	hospinfect
Hospital-acquired infection	A4152	Sepsis due to Serratia	ICD10:A41.52	hospinfect
Hospital-acquired infection	A4158	Sepsis due to other gram-negative organisms; includes: Gram-negative sepsis NOS	ICD10:A41.58	hospinfect
Hospital-acquired infection	A4180	Sepsis due to enterococcus; excludes: due to Streptococcus D (A40.2)	ICD10:A41.80	hospinfect
Hospital-acquired infection	A4188	Other specified septicaemia	ICD10:A41.88	hospinfect
Hospital-acquired infection	A419	Septicaemia unspecified	ICD10:A41.9	hospinfect
Hospital-acquired infection	A490	Staphylococcal infection, unspecified site	ICD10:A49.0	hospinfect
Hospital-acquired infection	B309	Viral conjunctivitis unspecified	ICD10:B30.9	hospinfect
Hospital-acquired infection	B373	Candidiasis of vulva and vagina	ICD10:B37.3	hospinfect
Hospital-acquired infection	B374	Candidiasis of other urogenital sites	ICD10:B37.4	hospinfect
Hospital-acquired infection	B377	Candidal septicaemia	ICD10:B37.7	hospinfect
Hospital-acquired infection	B3780	Candidal esophagitis	ICD10:B37.80	hospinfect
Hospital-acquired infection	B3781	Candidal enteritis	ICD10:B37.81	hospinfect
Hospital-acquired infection	B956	Staphylococcus aureus as the cause of diseases classified to other chapters	ICD10:B95.6	hospinfect
Hospital-acquired infection	B957	Other staphylococcus as the cause of diseases classified to other chapters	ICD10:B95.7	hospinfect
Hospital-acquired infection	B958	Unspecified staphylococcus as the cause of diseases classified to other chapters	ICD10:B95.8	hospinfect
Hospital-acquired infection	B961	Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified to other chapters	ICD10:B96.1	hospinfect
Hospital-acquired infection	B962	Escherichia coli [E. coli] as the cause of diseases classified to other chapters	ICD10:B96.2	hospinfect
Hospital-acquired infection	B964	Proteus (mirabilis)(morganii) as the cause of diseases classified in other chapters	ICD10:B96.4	hospinfect
Hospital-acquired infection	B965	Pseudomonas (aeruginosa) as the cause of diseases classified to other chapters	ICD10:B96.5	hospinfect
Hospital-acquired infection	B9681	Enterococcus as the cause of diseases classified to other chapters	ICD10:B96.81	hospinfect
Hospital-acquired infection	B9688	Other specified bacterial agents as the cause of diseases classified to other chapters	ICD10:B96.88	hospinfect
Hospital-acquired infection	B974	Respiratory syncytial virus as the cause of diseases classified to other chapters	ICD10:B97.4	hospinfect
Hospital-acquired infection	G003	Staphylococcal meningitis	ICD10:G00.3	hospinfect
Hospital-acquired infection	J150	Pneumonia due to Klebsiella pneumonia	ICD10:J15.0	hospinfect
Hospital-acquired infection	J151	Pneumonia due to Pseudomonas	ICD10:J15.1	hospinfect
Hospital-acquired infection	J152	Pneumonia due to Staphylococcus	ICD10:J15.2	hospinfect
Hospital-acquired infection	J155	Pneumonia due to Escherichia coli	ICD10:J15.5	hospinfect
Hospital-acquired infection	J156	Pneumonia due to other aerobic Gram-negative bacteria; Includes: Pneumonia due to Serratia marcescens	ICD10:J15.6	hospinfect
Hospital-acquired infection	J159	Bacterial pneumonia unspecified	ICD10:J15.9	hospinfect
Hospital-acquired infection	J181	Lobar pneumonia unspecified	ICD10:J18.1	hospinfect
Hospital-acquired infection	J210	Acute bronchiolitis due to respiratory syncytial virus	ICD10:J21.0	hospinfect
Hospital-acquired infection	J853	Abscess of mediastinum	ICD10:J85.3	hospinfect
Hospital-acquired infection	J860	Pyothorax with fistula	ICD10:J86.0	hospinfect
Hospital-acquired infection	J869	Pyothorax without fistula	ICD10:J86.9	hospinfect
Hospital-acquired infection	J9501	Infection of tracheostomy stoma	ICD10:J95.01	hospinfect
Hospital-acquired infection	K650	Acute peritonitis	ICD10:K65.0	hospinfect
Hospital-acquired infection	N390	Urinary tract infection, site not specified	ICD10:N39.0	hospinfect
Hospital-acquired infection	N9951	Infection of external stoma of urinary tract	ICD10:N99.51	hospinfect
Hospital-acquired infection	O7530	Other infection during labour/delivered	ICD10:O75.30	hospinfect
Hospital-acquired infection	O8500	Puerperal sepsis, 	ICD10:O85.00	hospinfect
Hospital-acquired infection	O8600	Infection of obstetric surgical wound; Includes: Infected caesarean section wound following delivery, Infected perineal repair following delivery; 	ICD10:O86.00	hospinfect
Hospital-acquired infection	O8610	Other infection of genital tract following delivery; Includes: Cervicitis following delivery, Vaginitis following delivery; 	ICD10:O86.10	hospinfect
Hospital-acquired infection	O8620	Urinary tract infection following delivery; Includes: Conditions in N15.-, N30.-, N34.-, N39.0 following delivery, Conditions in N39.0 following delivery, Conditions in N10-N12, N15.-, N30.-, N34.-, N39.0 following delivery, Conditions in N34.-, N39.0 following delivery, Conditions in, N30.-, N34.-, N39.0 following delivery; 	ICD10:O86.20	hospinfect
Hospital-acquired infection	O8630	Other genitourinary tract infections following delivery; Includes: Puerperal genitourinary tract infection NOS; 	ICD10:O86.30	hospinfect
Hospital-acquired infection	O8680	Other specified puerperal infections; 	ICD10:O86.80	hospinfect
Hospital-acquired infection	P360	Sepsis of newborn due to streptococcus, group B	ICD10:P36.0	hospinfect
Hospital-acquired infection	P361	Sepsis of newborn due to other and unspecified streptococci	ICD10:P36.1	hospinfect
Hospital-acquired infection	P362	Sepsis of newborn due to Staphylococcus aureus	ICD10:P36.2	hospinfect
Hospital-acquired infection	P363	Sepsis of newborn due to other and unspecified staphylococci	ICD10:P36.3	hospinfect
Hospital-acquired infection	P364	Sepsis of newborn due to Escherichia coli	ICD10:P36.4	hospinfect
Hospital-acquired infection	P368	Other bacterial sepsis of newborn	ICD10:P36.8	hospinfect
Hospital-acquired infection	P369	Bacterial sepsis of newborn unspecified	ICD10:P36.9	hospinfect
Hospital-acquired infection	P38	Omphalitis of newborn with or without mild haemorrhage	ICD10:P38	hospinfect
Hospital-acquired infection	R572	septic shock	ICD10:R57.2	hospinfect
Hospital-acquired infection	T814	Infection following a procedure, not elsewhere classified	ICD10:T81.4	hospinfect
Hospital-acquired infection	T826	Infection and inflammatory reaction due to cardiac valve prosthesis	ICD10:T82.6	hospinfect
Hospital-acquired infection	T827	Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts	ICD10:T82.7	hospinfect
Hospital-acquired infection	T835	Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system	ICD10:T83.5	hospinfect
Hospital-acquired infection	T836	Infection and inflammatory reaction due to prosthetic device, implant and graft in genital tract	ICD10:T83.6	hospinfect
Hospital-acquired infection	T8453	Infection and inflammatory reaction due to hip prosthesis	ICD10:T84.53	hospinfect
Hospital-acquired infection	T8454	Infection and inflammatory reaction due to knee prosthesis	ICD10:T84.54	hospinfect
Hospital-acquired infection	T8460	Infection and inflammatory reaction due to internal fixation device of humerus	ICD10:T84.60	hospinfect
Hospital-acquired infection	T8461	Infection and inflammatory reaction due to internal fixation device of radius and ulna	ICD10:T84.61	hospinfect
Hospital-acquired infection	T8463	Infection and inflammatory reaction due to internal fixation device of femur	ICD10:T84.63	hospinfect
Hospital-acquired infection	T8464	Infection and inflammatory reaction due to internal fixation device of tibia and fibula	ICD10:T84.64	hospinfect
Hospital-acquired infection	T8465	Infection and inflammatory reaction due to internal fixation device of bones of foot	ICD10:T84.65	hospinfect
Hospital-acquired infection	T8468	Infection and inflammatory reaction due to internal fixation device of bones at other site	ICD10:T84.68	hospinfect
Hospital-acquired infection	T847	Infection and inflammatory reaction due to other internal orthopaedic prosthetic devices, implants & grafts	ICD10:T84.7	hospinfect
Hospital-acquired infection	T857	Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts	ICD10:T85.7	hospinfect
Hospital-acquired infection	T8742	Infection of below knee amputation stump	ICD10:T87.42	hospinfect
Hospital-acquired infection	T8746	Infection of above knee amputation stump	ICD10:T87.46	hospinfect
Hospital-acquired infection	T8747	Infection of below knee amputation stump	ICD10:T87.47	hospinfect
Hospital-acquired infection	T8748	Infection of other amputation stump	ICD10:T87.48	hospinfect
Decubitus Ulcer	L89	Pressure ulcer	ICD10:L89	decubulcer
Decubitus Ulcer	L890	Stage I decubitus ulcer and pressure area	ICD10:L89.0	decubulcer
Decubitus Ulcer	L891	Stage II decubitus [pressure] ulcer	ICD10:L89.1	decubulcer
Decubitus Ulcer	L892	Stage III decubitus [pressure] ulcer	ICD10:L89.2	decubulcer
Decubitus Ulcer	L893	Stage IV decubitus [pressure] ulcer	ICD10:L89.3	decubulcer
Decubitus Ulcer	L898	Decubitus [pressure] ulcer, unstageable	ICD10:L89.8	decubulcer
Decubitus Ulcer	L899	Decubitus ulcer and pressure area, unspecified	ICD10:L89.9	decubulcer
Endocrine & Metabolic Complications (electrolyte abnormalities, diabetes, etc) 	E1010	Type 1 diabetes mellitus with ketoacidosis	ICD10:E10.10	endometab
Endocrine & Metabolic Complications (electrolyte abnormalities, diabetes, etc) 	E1063	Type 1 diabetes mellitus with hypoglycaemia	ICD10:E10.63	endometab
Endocrine & Metabolic Complications (electrolyte abnormalities, diabetes, etc) 	E1064	type 1 diabetes mellitus with poor control, so described	ICD10:E10.64	endometab
Endocrine & Metabolic Complications (electrolyte abnormalities, diabetes, etc) 	E110	Type 2 diabetes mellitus with coma	ICD10:E11.0	endometab
Endocrine & Metabolic Complications (electrolyte abnormalities, diabetes, etc) 	E1110	Type 2 DM with ketoacidosis	ICD10:E11.10	endometab
Endocrine & Metabolic Complications (electrolyte abnormalities, diabetes, etc) 	E1111	Type 2 diabetes mellitus with lactic acidosis	ICD10:E11.11	endometab
Endocrine & Metabolic Complications (electrolyte abnormalities, diabetes, etc) 	E1163	Type 2 diabetes mellitus with hypoglycaemia	ICD10:E11.63	endometab
Endocrine & Metabolic Complications (electrolyte abnormalities, diabetes, etc) 	E1164	type 2 diabetes mellitus with poor control, so described	ICD10:E11.64	endometab
Endocrine & Metabolic Complications (electrolyte abnormalities, diabetes, etc) 	E1363	Other specified diabetes mellitus with hypoglycaemia	ICD10:E13.63	endometab
Endocrine & Metabolic Complications (electrolyte abnormalities, diabetes, etc) 	E1463	Unspecified diabetes mellitus with hypoglycaemia	ICD10:E14.63	endometab
Endocrine & Metabolic Complications (electrolyte abnormalities, diabetes, etc) 	E15	Hypoglycaemic coma	ICD10:E15	endometab
Endocrine & Metabolic Complications (electrolyte abnormalities, diabetes, etc) 	E160	Drug-induced hypoglycaemia without coma	ICD10:E16.0	endometab
Endocrine & Metabolic Complications (electrolyte abnormalities, diabetes, etc) 	E272	Addisonian crisis	ICD10:E27.2	endometab
Endocrine & Metabolic Complications (electrolyte abnormalities, diabetes, etc) 	E891	Postprocedural hypoinsulinaemia	ICD10:E89.1	endometab
Endocrine & Metabolic Complications (electrolyte abnormalities, diabetes, etc) 	E892	Postprocedural hypoparathyroidism	ICD10:E89.2	endometab
Endocrine & Metabolic Complications (electrolyte abnormalities, diabetes, etc) 	E893	Postprocedural hypopituitarism	ICD10:E89.3	endometab
Endocrine & Metabolic Complications (electrolyte abnormalities, diabetes, etc) 	G372	Central pontine myelinolysis	ICD10:G37.2	endometab
Endocrine & Metabolic Complications (electrolyte abnormalities, diabetes, etc) 	T503	Poisoning by electrolytic, caloric and water-balance agents	ICD10:T50.3	endometab
Venous Thromboembolic Events	I260	Pulmonary embolism with mention of acute cor pulmonale	ICD10:I26.0	thromb
Venous Thromboembolic Events	I269	Pulmonary embolism without mention of acute cor pulmonale	ICD10:I26.9	thromb
Venous Thromboembolic Events	I801	Phlebitis & thrombophlebitis of femoral vein	ICD10:I80.1	thromb
Venous Thromboembolic Events	I802	Phlebitis and thrombophlebitis of other deep vessels of lower extremities (Includes: Deep vein thrombosis NOS)	ICD10:I80.2	thromb
Venous Thromboembolic Events	I822	Embolism and thrombosis of vena cava	ICD10:I82.2	thromb
Venous Thromboembolic Events	O8710	Deep phlebothrombosis in the puerperium; Includes: Deep-vein thrombosis, postpartum, Pelvic thrombophlebitis, postpartum; 	ICD10:O87.10	thromb
Cardiac Complications	I200	Unstable angina	ICD10:I20.0	cardiac
Cardiac Complications	I201	Angina pectoris with documented spasm	ICD10:I20.1	cardiac
Cardiac Complications	I2088	Other forms of angina pectoris	ICD10:I20.88	cardiac
Cardiac Complications	I209	Angina pectoris unspecified	ICD10:I20.9	cardiac
Cardiac Complications	I210	Acute transmural myocardial infarction of anterior wall	ICD10:I21.0	cardiac
Cardiac Complications	I211	Acute transmural myocardial infarction of inferior wall	ICD10:I21.1	cardiac
Cardiac Complications	I212	Acute transmural myocardial infarction of other sites	ICD10:I21.2	cardiac
Cardiac Complications	I213	Acute transmural myocardial infarction of unspecified site	ICD10:I21.3	cardiac
Cardiac Complications	I214	Acute subendocardial myocardial infarction (Includes: Non-Q-wave myocardial infarction)	ICD10:I21.4	cardiac
Cardiac Complications	I219	Acute myocardial infarction unspecified	ICD10:I21.9	cardiac
Cardiac Complications	I220	Subsequent myocardial infarction of anterior wall	ICD10:I22.0	cardiac
Cardiac Complications	I221	Subsequent myocardial infarction of inferior wall	ICD10:I22.1	cardiac
Cardiac Complications	I228	Subsequent myocardial infarction of other sites	ICD10:I22.8	cardiac
Cardiac Complications	I229	Subsequent myocardial infarction of unspecified site	ICD10:I22.9	cardiac
Cardiac Complications	I461	Sudden cardiac death so described	ICD10:I46.1	cardiac
Cardiac Complications	I469	Cardiac arrest unspecified	ICD10:I46.9	cardiac
Cardiac Complications	I472	Ventricular tachycardia	ICD10:I47.2	cardiac
Cardiac Complications	I481	Atrial flutter	ICD10:I48.1	cardiac
Cardiac Complications	I4900	Ventricular fibrillation	ICD10:I49.00	cardiac
Cardiac Complications	I4901	Ventricular flutter	ICD10:I49.01	cardiac
Cardiac Complications	I500	Congestive heart failure	ICD10:I50.0	cardiac
Cardiac Complications	I501	Left ventricular failure	ICD10:I50.1	cardiac
Cardiac Complications	I509	Heart failure unspecified	ICD10:I50.9	cardiac
Cardiac Complications	J81	Pulmonary oedema	ICD10:J81	cardiac
Cardiac Complications	O7420	Cardiac complications of anaesthesia during labour and delivery; Includes: Cardiac arrest due to anaesthesia during labour and delivery, Cardiac failure due to anaesthesia during labour and delivery; 	ICD10:O74.20	cardiac
Cardiac Complications	S26811	Laceration and puncture of heart; Includes: Minor, moderate, major lacerations, puncture, traumatic rupture; With open wound into thoracic cavity	ICD10:S26.811	cardiac
Cardiac Complications	T820	Mechanical complication of heart valve prosthesis	ICD10:T82.0	cardiac
Cardiac Complications	T821	Mechanical complication of cardiac electronic device	ICD10:T82.1	cardiac
Cardiac Complications	T822	Mechanical complication of coronary artery bypass and valve grafts	ICD10:T82.2	cardiac
Cardiac Complications	T825	Mechanical complication of other cardiac and vascular devices and implants	ICD10:T82.5	cardiac
Cardiac Complications	T826	Infection and inflammatory reaction due to cardiac valve prosthesis	ICD10:T82.6	cardiac
Cardiac Complications	T827	Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts	ICD10:T82.7	cardiac
Cardiac Complications	T828	Other specified complications of cardiac and vascular prosthetic devices, implants and grafts	ICD10:T82.8	cardiac
Cardiac Complications	T829	Unspecified complication of cardiac and vascular prosthetic device, implant and graft	ICD10:T82.9	cardiac
Respiratory Complications 	J150	Pneumonia due to Klebsiella pneumonia	ICD10:J15.0	respiratory
Respiratory Complications 	J151	Pneumonia due to Pseudomonas	ICD10:J15.1	respiratory
Respiratory Complications 	J152	Pneumonia due to Staphylococcus	ICD10:J15.2	respiratory
Respiratory Complications 	J155	Pneumonia due to Escherichia coli	ICD10:J15.5	respiratory
Respiratory Complications 	J156	Pneumonia due to other aerobic Gram-negative bacteria; Includes: Pneumonia due to Serratia marcescens	ICD10:J15.6	respiratory
Respiratory Complications 	J159	Bacterial pneumonia unspecified	ICD10:J15.9	respiratory
Respiratory Complications 	J181	Lobar pneumonia unspecified	ICD10:J18.1	respiratory
Respiratory Complications 	J210	Acute bronchiolitis due to respiratory syncytial virus	ICD10:J21.0	respiratory
Respiratory Complications 	J3801	Paralysis of vocal cords and larynx, unilateral	ICD10:J38.01	respiratory
Respiratory Complications 	J3802	Paralysis of vocal cords and larynx, bilateral	ICD10:J38.02	respiratory
Respiratory Complications 	J3809	Paralysis of vocal cords and larynx, unspecified whether unilateral or bilateral	ICD10:J38.09	respiratory
Respiratory Complications 	J690	Pneumonitis due to food and vomit	ICD10:J69.0	respiratory
Respiratory Complications 	J698	Pneumonitis due to other solids and liquids	ICD10:J69.8	respiratory
Respiratory Complications 	J853	Abscess of mediastinum	ICD10:J85.3	respiratory
Respiratory Complications 	J860	Pyothorax with fistula	ICD10:J86.0	respiratory
Respiratory Complications 	J869	Pyothorax without fistula	ICD10:J86.9	respiratory
Respiratory Complications 	J942	Haemothorax	ICD10:J94.2	respiratory
Respiratory Complications 	J9500	Haemorrhage from tracheostomy stoma	ICD10:J95.00	respiratory
Respiratory Complications 	J9501	Infection of tracheostomy stoma	ICD10:J95.01	respiratory
Respiratory Complications 	J9502	Malfunction of tracheostomy stoma	ICD10:J95.02	respiratory
Respiratory Complications 	J9503	Tracheo-esophageal fistula following tracheostomy	ICD10:J95.03	respiratory
Respiratory Complications 	J9508	Other tracheostomy complication	ICD10:J95.08	respiratory
Respiratory Complications 	J951	Acute pulmonary insufficiency following thoracic surgery	ICD10:J95.1	respiratory
Respiratory Complications 	J952	Acute pulmonary insufficiency following nonthoracic surgery	ICD10:J95.2	respiratory
Respiratory Complications 	J955	Postprocedural subglottic stenosis	ICD10:J95.5	respiratory
Respiratory Complications 	J9580	Postprocedural pneumothorax	ICD10:J95.80	respiratory
Respiratory Complications 	J9581	Transfusion related acute lung injury (TRALI)	ICD10:J95.81	respiratory
Respiratory Complications 	J9588	Other postprocedural respiratory disorders	ICD10:J95.88	respiratory
Respiratory Complications 	J959	Postprocedural respiratory disorder, unspecified	ICD10:J95.9	respiratory
Respiratory Complications 	J960	Acute respiratory failure	ICD10:J96.0	respiratory
Respiratory Complications 	S202	Contusion of thorax	ICD10:S20.2	respiratory
Respiratory Complications 	S22200	Fracture of sternum; closed	ICD10:S22.200	respiratory
Respiratory Complications 	S22300	Fracture of rib; closed	ICD10:S22.300	respiratory
Respiratory Complications 	S22400	Multiple fractures of 2 - 4 ribs; closed	ICD10:S22.400	respiratory
Respiratory Complications 	S22410	Multiple fractures of 5 or more ribs; closed	ICD10:S22.410	respiratory
Respiratory Complications 	S22490	Multiple fractures of unspecified number of ribs; closed	ICD10:S22.490	respiratory
Respiratory Complications 	S27000	Traumatic pneumothorax, without open wound into thoracic cavity	ICD10:S27.000	respiratory
Respiratory Complications 	S27001	Traumatic pneumothorax, with open wound into thoracic cavity	ICD10:S27.001	respiratory
Respiratory Complications 	S27100	Traumatic haemothorax, without open wound into thoracic cavity	ICD10:S27.100	respiratory
Respiratory Complications 	S27200	Traumatic haemopneumothorax, without open wound into thoracic cavity	ICD10:S27.200	respiratory
Respiratory Complications 	S27300	Contusion and haematoma of lung; Without open wound into thoracic cavity	ICD10:S27.300	respiratory
Respiratory Complications 	S27310	Laceration and puncture of lung; Includes: Minor, moderate, major lacerations, puncture, traumatic rupture; Without open wound into thoracic cavity	ICD10:S27.310	respiratory
Respiratory Complications 	T173	Foreign body in larynx	ICD10:T17.3	respiratory
Respiratory Complications 	T174	Foreign body in trachea	ICD10:T17.4	respiratory
Respiratory Complications 	T175	Foreign body in bronchus	ICD10:T17.5	respiratory
Respiratory Complications 	T178	Foreign body in other and multiple parts of respiratory tract	ICD10:T17.8	respiratory
Respiratory Complications 	T179	Foreign body in respiratory tract, part unspecified	ICD10:T17.9	respiratory
Respiratory Complications 	T71	Asphyxiation	ICD10:T71	respiratory
Respiratory Complications 	T797	Traumatic subcutaneous emphysema	ICD10:T79.7	respiratory
Respiratory Complications 	T8181	Emphysema (subcutaneous) resulting from a procedure	ICD10:T81.81	respiratory
Hemorrhagic Events	D62	Acute posthaemorrhagic anaemia	ICD10:D62	hemorrhage
