Category/Type	icd10	Description	icd10_ccode	shortname
Traumatic injuries (non-procedural) arising in hospital 	S72300	Fracture of shaft of femur; closed	ICD10:S72.300	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S72410	Condylar fracture of femur; closed	ICD10:S72.410	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S72420	Supracondylar fracture of femur; closed	ICD10:S72.420	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S72490	Unspecified fracture of lower (distal) end of femur; closed	ICD10:S72.490	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S72800	Fractures of other parts of femur, closed	ICD10:S72.800	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S72900	Fracture of femur, part unspecified, closed	ICD10:S72.900	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S73000	Posterior dislocation of hip; closed	ICD10:S73.000	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S73090	Unspecified dislocation of hip; closed	ICD10:S73.090	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S7418	Other and unspecified injury of femoral nerve at hip and thigh level	ICD10:S74.18	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S750	Injury of femoral artery	ICD10:S75.0	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S799	Unspecified injury of hip and thigh	ICD10:S79.9	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S800	Contusion of knee	ICD10:S80.0	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S801	Contusion of other and unspecified parts of lower leg	ICD10:S80.1	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S807	Multiple superficial injuries lower leg	ICD10:S80.7	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S808	Other superficial injuries of lower leg	ICD10:S80.8	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S809	Superficial injury of lower leg, unspecified	ICD10:S80.9	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S8100	Open wound of knee; uncomplicated	ICD10:S81.00	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S8101	Open wound of knee; complicated	ICD10:S81.01	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S8180	Open wounds of other parts of lower leg, uncomplicated	ICD10:S81.80	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S8181	Open wounds of other parts of lower leg, complicated; includes: Wounds with mention of delayed healing, delayed treatment, foreign body or major infection	ICD10:S81.81	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S8190	Open wound of lower leg, part unspecified, uncomplicated	ICD10:S81.90	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S8191	Open wound of lower leg, part unspecified, complicated;  includes: Wounds with mention of delayed healing, delayed treatment, foreign body or major infection	ICD10:S81.91	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S82000	Fracture of patella; closed	ICD10:S82.000	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S82100	Fracture of upper (proximal) end of tibia with or without fibula, closed	ICD10:S82.100	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S82200	Fracture of shaft of tibia with or without fibula, closed	ICD10:S82.200	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S82300	Fracture of lower (distal) end of tibia with or without fibula, closed	ICD10:S82.300	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S82400	Fracture of fibula alone, closed	ICD10:S82.400	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S82500	Fracture of medial malleolus, closed	ICD10:S82.500	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S82600	Fracture of lateral malleolus, closed	ICD10:S82.600	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S82800	Bimalleolar fracture of ankle; closed	ICD10:S82.800	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S82890	Fracture of ankle NOS; closed	ICD10:S82.890	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S836	Sprain & strain of other and unspecified parts of knee	ICD10:S83.6	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S898	Other specified injuries of lower leg	ICD10:S89.8	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S899	Unspecified injury of lower leg	ICD10:S89.9	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S900	Contusion of ankle	ICD10:S90.0	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S901	Contusion of toe(s) without damage to nail; includes: Contusion of toe(s) NOS	ICD10:S90.1	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S903	Contusion of other and unspecified parts of foot	ICD10:S90.3	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S907	Multiple superficial injuries of ankle & foot	ICD10:S90.7	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S908	Other superficial injuries of ankle & foot	ICD10:S90.8	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S909	Superficial injury of ankle & foot, unspecified	ICD10:S90.9	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S9100	Open wound of ankle; uncomplicated	ICD10:S91.00	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S9110	Open wound of toe(s) without damage to nail, uncomplicated	ICD10:S91.10	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S9120	Open wound of toe(s) with damage to nail, uncomplicated	ICD10:S91.20	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S9130	Open wound of other parts of foot, uncomplicated	ICD10:S91.30	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S92000	Fracture of calcaneus; closed	ICD10:S92.000	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S92300	Fracture of metatarsal bone; closed	ICD10:S92.300	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S92400	Fracture of great toe; closed	ICD10:S92.400	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S92500	Fracture of other toe; closed	ICD10:S92.500	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S9349	Sprain and strain of ankle; unspecified	ICD10:S93.49	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S998	Other specified injuries of ankle and foot	ICD10:S99.8	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S999	Unspecified injury of ankle and foot	ICD10:S99.9	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T001	Superficial injuries involving thorax with abdomen, lower back and pelvis	ICD10:T00.1	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T008	Superficial injuries involving other combinations of  body regions	ICD10:T00.8	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T009	Multiple superficial injuries, unspecified	ICD10:T00.9	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T090	Superficial injury of trunk level, unspecified	ICD10:T09.0	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T110	Superficial injury upper limb level, unspecified	ICD10:T11.0	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T111	Open wound of upper limb, level unspecified	ICD10:T11.1	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T130	Superficial injury lower limb level, unspecified	ICD10:T13.0	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T131	Open wound of lower limb, level unspecified	ICD10:T13.1	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T140	Superficial injuries of unspecified body region	ICD10:T14.0	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T149	Injury unspecified	ICD10:T14.9	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T200	Burn of unspecified degree of head and neck	ICD10:T20.0	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T202	Burn of second degree of head and neck	ICD10:T20.2	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T210	Burn of unspecified thickness of trunk	ICD10:T21.0	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T211	Burn of first degree of trunk	ICD10:T21.1	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T212	Burn of second degree of trunk	ICD10:T21.2	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T213	Burn of third degree of trunk	ICD10:T21.3	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T220	Burn of unspecified degree of shoulder and upper limb, except wrist and hand	ICD10:T22.0	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T224	Corrosion of unspecified degree of shoulder and upper limb, except wrist and hand	ICD10:T22.4	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T230	Burn of unspecified degree of wrist and hand	ICD10:T23.0	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T232	Burn of second degree of wrist and hand	ICD10:T23.2	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T240	Burn of unspecified degree of hip and lower limb, except ankle and foot	ICD10:T24.0	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T242	Burn of second degree of hip and lower limb, except ankle and foot	ICD10:T24.2	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T250	Burn of unspecified degree of ankle and foot	ICD10:T25.0	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T252	Burn of second degree of ankle and foot	ICD10:T25.2	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T71	Asphyxiation	ICD10:T71	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T792	Traumatic secondary and recurrent haemorrhage	ICD10:T79.2	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T796	Traumatic ischaemia of muscle	ICD10:T79.6	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	T797	Traumatic subcutaneous emphysema	ICD10:T79.7	hosptrauma
Anesthesia related complications	O2950	Other complications of spinal and epidural anaesthesia during pregnancy; 	ICD10:O29.50	anaesthesia
Anesthesia related complications	O7420	Cardiac complications of anaesthesia during labour and delivery; Includes: Cardiac arrest due to anaesthesia during labour and delivery, Cardiac failure due to anaesthesia during labour and delivery; 	ICD10:O74.20	anaesthesia
Anesthesia related complications	O7430	Central nervous system complications of anaesthesia during labour and delivery; Includes: Cerebral anoxia due to anaesthesia during labour and delivery; 	ICD10:O74.30	anaesthesia
Anesthesia related complications	O7450	Toxic reaction to local anaesthesia during labour and delivery; 	ICD10:O74.50	anaesthesia
Anesthesia related complications	O7460	Other complications of spinal and epidural anaesthesia during labour and delivery; 	ICD10:O74.60	anaesthesia
Anesthesia related complications	O7480	Other complications of anaesthesia during labour and delivery; 	ICD10:O74.80	anaesthesia
Anesthesia related complications	O8940	Spinal and epidural anaesthesia-induced headache during the puerperium; 	ICD10:O89.40	anaesthesia
Anesthesia related complications	O8950	Other complications of spinal and epidural anaesthesia during the puerperium; 	ICD10:O89.50	anaesthesia
Anesthesia related complications	O8980	Other complications of anaesthesia during the puerperium; 	ICD10:O89.80	anaesthesia
Anesthesia related complications	T412	Poisoning by other and unspecified general anaesthetics	ICD10:T41.2	anaesthesia
Anesthesia related complications	T413	Poisoning by local anaesthetics	ICD10:T41.3	anaesthesia
Anesthesia related complications	T882	Shock due to anaesthesia	ICD10:T88.2	anaesthesia
Anesthesia related complications	T883	Malignant hyperthermia due to anaesthesia	ICD10:T88.3	anaesthesia
Anesthesia related complications	T884	Failed or difficult intubation	ICD10:T88.4	anaesthesia
Anesthesia related complications	T885	Other complications of anaesthesia	ICD10:T88.5	anaesthesia
Delirium	F05	Delirium	ICD10:F05	delirium
Delirium	F050	Delirium not superimposed on dementia	ICD10:F05.0	delirium
Delirium	F051	Delirium superimposed on dementia	ICD10:F05.1	delirium
Delirium	F058	Other delirium	ICD10:F05.8	delirium
Delirium	F059	Delirium unspecified	ICD10:F05.9	delirium
Central Nervous System  Complications	E110	Type 2 diabetes mellitus with coma	ICD10:E11.0	cns
Central Nervous System  Complications	E15	Hypoglycaemic coma	ICD10:E15	cns
Central Nervous System  Complications	F050	Delirium not superimposed on dementia	ICD10:F05.0	cns
Central Nervous System  Complications	F051	Delirium superimposed on dementia	ICD10:F05.1	cns
Central Nervous System  Complications	F058	Other delirium	ICD10:F05.8	cns
Central Nervous System  Complications	F059	Delirium unspecified	ICD10:F05.9	cns
Central Nervous System  Complications	G003	Staphylococcal meningitis	ICD10:G00.3	cns
Central Nervous System  Complications	G372	Central pontine myelinolysis	ICD10:G37.2	cns
Central Nervous System  Complications	G972	Intracranial hypotension following ventricular shunting	ICD10:G97.2	cns
Central Nervous System  Complications	O7430	Central nervous system complications of anaesthesia during labour and delivery; Includes: Cerebral anoxia due to anaesthesia during labour and delivery; 	ICD10:O74.30	cns
Central Nervous System  Complications	O8940	Spinal and epidural anaesthesia-induced headache during the puerperium; 	ICD10:O89.40	cns
Central Nervous System  Complications	S060	Concussion	ICD10:S06.0	cns
Central Nervous System  Complications	S061	Traumatic cerebral oedema	ICD10:S06.1	cns
Central Nervous System  Complications	S0625	Diffuse brain injury without open intracranial wound	ICD10:S06.25	cns
Central Nervous System  Complications	S0635	Focal brain injury without open intracranial wound	ICD10:S06.35	cns
Central Nervous System  Complications	S064	Epidural haemorrhage	ICD10:S06.4	cns
Central Nervous System  Complications	S065	Traumatic subdural haemorrhage	ICD10:S06.5	cns
Central Nervous System  Complications	S066	Traumatic subarachnoid haemorrhage	ICD10:S06.6	cns
Central Nervous System  Complications	S0685	Other intracranial injuries without open intracranial wound	ICD10:S06.85	cns
Central Nervous System  Complications	S069	Intracranial injury, unspecified	ICD10:S06.9	cns
Gastrointestinal	A020	Salmonella enteritis	ICD10:A02.0	gastro
Gastrointestinal	A044	Other intestinal Escherichia coli infections	ICD10:A04.4	gastro
Gastrointestinal	A045	Campylobacter enteritis	ICD10:A04.5	gastro
Gastrointestinal	A047	Enterocolitis due to Clostridium difficile; includes: Foodborne intoxication by Clostridium difficile, Pseudomembranous colitis	ICD10:A04.7	gastro
Gastrointestinal	A048	Other specified bacterial intestinal infections	ICD10:A04.8	gastro
Gastrointestinal	A049	Bacterial intestinal infection, unspecified	ICD10:A04.9	gastro
Gastrointestinal	A080	Rotaviral enteritis	ICD10:A08.0	gastro
Gastrointestinal	A081	Acute gastroenteropathy due to Norwalk agent; includes: Small round structured virus enteritis	ICD10:A08.1	gastro
Gastrointestinal	B3780	Candidal esophagitis	ICD10:B37.80	gastro
Gastrointestinal	B3781	Candidal enteritis	ICD10:B37.81	gastro
Gastrointestinal	K223	Perforation of oesophagus	ICD10:K22.3	gastro
Gastrointestinal	K650	Acute peritonitis	ICD10:K65.0	gastro
Gastrointestinal	K910	Vomiting following gastrointestinal surgery	ICD10:K91.0	gastro
Gastrointestinal	K913	Postoperative intestinal obstruction	ICD10:K91.3	gastro
Gastrointestinal	S27810	Laceration of oesophagus; Includes: Minor, moderate, major lacerations, puncture, traumatic rupture; Without open wound into thoracic cavity	ICD10:S27.810	gastro
Gastrointestinal	S27860	Other and unspecified injury of oesophagus; Without open wound into thoracic cavity	ICD10:S27.860	gastro
Gastrointestinal	S36150	Liver haematoma NOS, laceration NOS, injury to liver NOS; Without open wound into cavity	ICD10:S36.150	gastro
Gastrointestinal	S36151	Liver haematoma NOS, laceration NOS, injury to liver NOS; With open wound into cavity	ICD10:S36.151	gastro
Gastrointestinal	S36411	Laceration of duodenum (without bile duct injury); With open wound into cavity	ICD10:S36.411	gastro
Gastrointestinal	S36460	Laceration of small intestine, excluding duodenum; Without open wound into cavity	ICD10:S36.460	gastro
Gastrointestinal	S36461	Laceration of small intestine, excluding duodenum; With open wound into cavity	ICD10:S36.461	gastro
Gastrointestinal	S36610	Laceration of rectum; Without open wound into cavity	ICD10:S36.610	gastro
Gastrointestinal	T181	Foreign body in oesophagus	ICD10:T18.1	gastro
Gastrointestinal	T182	Foreign body in stomach	ICD10:T18.2	gastro
Gastrointestinal	T183	Foreign body in small intestine	ICD10:T18.3	gastro
Gastrointestinal	T189	Foreign body in alimentary tract, part unspecified	ICD10:T18.9	gastro
Gastrointestinal	T282	Burn of other parts of alimentary tract	ICD10:T28.2	gastro
Gastrointestinal	T855	Mechanical complication of gastrointestinal prosthetic devices, implants and grafts; Conditions listed in T82.0 due to: bile-duct prosthesis, oesophageal anti-reflux device	ICD10:T85.5	gastro
Severe life or major vital organ threatening adverse event	G372	Central pontine myelinolysis	ICD10:G37.2	severe
Severe life or major vital organ threatening adverse event	I210	Acute transmural myocardial infarction of anterior wall	ICD10:I21.0	severe
Severe life or major vital organ threatening adverse event	I211	Acute transmural myocardial infarction of inferior wall	ICD10:I21.1	severe
Severe life or major vital organ threatening adverse event	I212	Acute transmural myocardial infarction of other sites	ICD10:I21.2	severe
Severe life or major vital organ threatening adverse event	I213	Acute transmural myocardial infarction of unspecified site	ICD10:I21.3	severe
Severe life or major vital organ threatening adverse event	I214	Acute subendocardial myocardial infarction (Includes: Non-Q-wave myocardial infarction)	ICD10:I21.4	severe
Severe life or major vital organ threatening adverse event	I219	Acute myocardial infarction unspecified	ICD10:I21.9	severe
Severe life or major vital organ threatening adverse event	I220	Subsequent myocardial infarction of anterior wall	ICD10:I22.0	severe
Severe life or major vital organ threatening adverse event	I221	Subsequent myocardial infarction of inferior wall	ICD10:I22.1	severe
Severe life or major vital organ threatening adverse event	I228	Subsequent myocardial infarction of other sites	ICD10:I22.8	severe
Severe life or major vital organ threatening adverse event	I229	Subsequent myocardial infarction of unspecified site	ICD10:I22.9	severe
Severe life or major vital organ threatening adverse event	I260	Pulmonary embolism with mention of acute cor pulmonale	ICD10:I26.0	severe
Severe life or major vital organ threatening adverse event	I461	Sudden cardiac death so described	ICD10:I46.1	severe
Severe life or major vital organ threatening adverse event	I469	Cardiac arrest unspecified	ICD10:I46.9	severe
Severe life or major vital organ threatening adverse event	I472	Ventricular tachycardia	ICD10:I47.2	severe
Severe life or major vital organ threatening adverse event	I4900	Ventricular fibrillation	ICD10:I49.00	severe
Severe life or major vital organ threatening adverse event	I4901	Ventricular flutter	ICD10:I49.01	severe
Severe life or major vital organ threatening adverse event	J960	Acute respiratory failure	ICD10:J96.0	severe
Severe life or major vital organ threatening adverse event	K223	Perforation of oesophagus	ICD10:K22.3	severe
Severe life or major vital organ threatening adverse event	K650	Acute peritonitis	ICD10:K65.0	severe
Severe life or major vital organ threatening adverse event	O7420	Cardiac complications of anaesthesia during labour and delivery; Includes: Cardiac arrest due to anaesthesia during labour and delivery, Cardiac failure due to anaesthesia during labour and delivery; 	ICD10:O74.20	severe
Severe life or major vital organ threatening adverse event	O7420	Cardiac complications of anaesthesia during labour and delivery; Includes: Cardiac arrest due to anaesthesia during labour and delivery, Cardiac failure due to anaesthesia during labour and delivery; 	ICD10:O74.20	severe
Severe life or major vital organ threatening adverse event	O7430	Central nervous system complications of anaesthesia during labour and delivery; Includes: Cerebral anoxia due to anaesthesia during labour and delivery; 	ICD10:O74.30	severe
Severe life or major vital organ threatening adverse event	O7510	Shock during or following labour and delivery; Includes: Obstetric shock; 	ICD10:O75.10	severe
Severe life or major vital organ threatening adverse event	O7540	Other complications of obstetric surgery and procedures; Includes: Cardiac arrest following cesarean or other obstetric surgery or procedures, including delivery NOS, Cardiac failure following cesarean or other obstetric surgery or procedures, including delivery NOS, Cerebral anoxia following cesarean or other obstetric surgery or procedures, including delivery NOS, Conditions in N99.0, N99.8, N99.9; Excludes: complications of anaesthesia during labour and delivery (O74.-); 	ICD10:O75.40	severe
Severe life or major vital organ threatening adverse event	R571	Hypovolaemic shock	ICD10:R57.1	severe
Severe life or major vital organ threatening adverse event	R572	septic shock	ICD10:R57.2	severe
Severe life or major vital organ threatening adverse event	R578	Other shock	ICD10:R57.8	severe
Severe life or major vital organ threatening adverse event	T71	Asphyxiation	ICD10:T71	severe
Severe life or major vital organ threatening adverse event	T800	Air embolism following infusion, transfusion and therapeutic injection	ICD10:T80.0	severe
Severe life or major vital organ threatening adverse event	T805	Anaphylactic shock due to serum	ICD10:T80.5	severe
Severe life or major vital organ threatening adverse event	T811	Shock during or resulting from a procedure, not elsewhere classified	ICD10:T81.1	severe
Severe life or major vital organ threatening adverse event	T882	Shock due to anaesthesia	ICD10:T88.2	severe
Severe life or major vital organ threatening adverse event	T883	Malignant hyperthermia due to anaesthesia	ICD10:T88.3	severe
Severe life or major vital organ threatening adverse event	T884	Failed or difficult intubation	ICD10:T88.4	severe
Severe life or major vital organ threatening adverse event	T886	Anaphylactic shock due to adverse effect of correct drug or medicament properly administered	ICD10:T88.6	severe
